name,h_size,num_layers,embedding_dim,annealer,loss,ce,hib,cib
char_model_elbow_25_3_10,25,3,10,elbow,2.7777504920959473,2.74605393409729,35.495872497558594,27.89918327331543
char_model_double_elbow_25_3_10,25,3,10,double_elbow,2.014456272125244,1.9290663003921509,107.5569839477539,63.222232818603516
char_model_none_25_3_15,25,3,15,none,2.0320308208465576,1.9383007287979126,114.09839630126953,73.36246490478516
char_model_linear_25_3_15,25,3,15,linear,2.7787511348724365,2.747339963912964,34.96672058105469,27.856212615966797
char_model_elbow_25_3_15,25,3,15,elbow,2.778345823287964,2.7465734481811523,35.54961395263672,27.9940185546875
char_model_double_elbow_25_3_15,25,3,15,double_elbow,2.005220890045166,1.9167579412460327,113.87914276123047,63.04671096801758
char_model_none_25_3_20,25,3,20,none,2.642604351043701,2.597170114517212,56.45344543457031,34.41447067260742
char_model_linear_25_3_20,25,3,20,linear,2.7784039974212646,2.7466936111450195,35.093170166015625,28.326677322387695
char_model_elbow_25_3_20,25,3,20,elbow,2.7781500816345215,2.746335983276367,35.658546447753906,27.969438552856445
char_model_double_elbow_25_3_20,25,3,20,double_elbow,2.008439779281616,1.9127472639083862,119.51905059814453,71.86663055419922
char_model_none_25_3_25,25,3,25,none,1.9867960214614868,1.885152816772461,126.44596862792969,76.84007263183594
char_model_linear_25_3_25,25,3,25,linear,2.1038691997528076,2.0124382972717285,114.30425262451172,68.5572280883789
char_model_elbow_25_3_25,25,3,25,elbow,2.0607423782348633,1.964163899421692,115.98607635498047,77.17105102539062
char_model_double_elbow_25_3_25,25,3,25,double_elbow,2.006255865097046,1.908902883529663,124.62567138671875,70.08081817626953
char_model_none_25_3_30,25,3,30,none,2.0972816944122314,1.9936652183532715,122.78337097167969,84.4495620727539
char_model_linear_25_3_30,25,3,30,linear,2.778332233428955,2.74658465385437,36.028160095214844,27.46710968017578
char_model_elbow_25_3_30,25,3,30,elbow,2.0914504528045654,1.9870860576629639,135.6710205078125,73.05781555175781
char_model_double_elbow_25_3_30,25,3,30,double_elbow,2.0224666595458984,1.9308063983917236,116.70466613769531,66.61500549316406
char_model_none_25_2_10,25,2,10,none,1.8835951089859009,1.8040776252746582,85.76260375976562,73.2729263305664
char_model_linear_25_2_10,25,2,10,linear,1.8600728511810303,1.7760292291641235,95.90872955322266,72.17816925048828
char_model_elbow_25_2_10,25,2,10,elbow,1.870254635810852,1.7879748344421387,91.42906951904297,73.13077545166016
char_model_double_elbow_25_2_10,25,2,10,double_elbow,1.8839268684387207,1.8039381504058838,93.04521942138672,66.93222045898438
char_model_none_25_2_15,25,2,15,none,1.8623881340026855,1.7815622091293335,91.3944091796875,70.257568359375
char_model_linear_25_2_15,25,2,15,linear,1.8751354217529297,1.7950884103775024,91.6541519165039,68.43946838378906
char_model_elbow_25_2_15,25,2,15,elbow,1.8714427947998047,1.7895931005477905,93.63259887695312,70.06652069091797
char_model_double_elbow_25_2_15,25,2,15,double_elbow,1.8870327472686768,1.8078299760818481,94.37863159179688,64.02774810791016
char_model_none_25_2_20,25,2,20,none,1.8769161701202393,1.7967605590820312,90.74994659423828,69.56183624267578
char_model_linear_25_2_20,25,2,20,linear,1.8462681770324707,1.7590093612670898,94.03984069824219,80.4784927368164
char_model_elbow_25_2_20,25,2,20,elbow,1.8582966327667236,1.7752149105072021,92.12486267089844,74.03758239746094
char_model_double_elbow_25_2_20,25,2,20,double_elbow,1.8714966773986816,1.7915618419647217,90.9358139038086,68.93299865722656
char_model_none_25_2_25,25,2,25,none,1.8771088123321533,1.797383427619934,89.54044342041016,69.91106414794922
char_model_linear_25_2_25,25,2,25,linear,1.8603752851486206,1.7775969505310059,94.72882843017578,70.82817840576172
char_model_elbow_25_2_25,25,2,25,elbow,1.8727303743362427,1.7946946620941162,94.19499206542969,61.876625061035156
char_model_double_elbow_25_2_25,25,2,25,double_elbow,1.8639227151870728,1.7826917171478271,88.76961517333984,73.6922607421875
char_model_none_25_2_30,25,2,30,none,1.881699562072754,1.8002488613128662,92.4163818359375,70.48492431640625
char_model_linear_25_2_30,25,2,30,linear,1.8492977619171143,1.7651081085205078,93.12725830078125,75.25122833251953
char_model_elbow_25_2_30,25,2,30,elbow,1.8648412227630615,1.782831072807312,90.84899139404297,73.17227935791016
char_model_double_elbow_25_2_30,25,2,30,double_elbow,1.8686933517456055,1.787925362586975,91.79551696777344,69.73967742919922
char_model_none_25_1_10,25,1,10,none,1.891313076019287,1.8541758060455322,41.02423858642578,33.250633239746094
char_model_linear_25_1_10,25,1,10,linear,1.877547025680542,1.8411741256713867,41.68143081665039,31.064735412597656
char_model_elbow_25_1_10,25,1,10,elbow,1.876769781112671,1.840816855430603,38.900848388671875,33.0052490234375
char_model_double_elbow_25_1_10,25,1,10,double_elbow,1.8863706588745117,1.8514740467071533,40.470401763916016,29.32377815246582
char_model_none_25_1_15,25,1,15,none,1.8781957626342773,1.8423880338668823,39.432918548583984,32.18294906616211
char_model_linear_25_1_15,25,1,15,linear,1.869378685951233,1.8335083723068237,39.87834930419922,31.86199378967285
char_model_elbow_25_1_15,25,1,15,elbow,1.8673126697540283,1.830237627029419,40.962223052978516,33.188838958740234
char_model_double_elbow_25_1_15,25,1,15,double_elbow,1.8799896240234375,1.8445724248886108,41.551185607910156,29.28264808654785
