meanings,signal length,signal dimension,MI,theoretical best
32,5,3,0.8096082210540771,5.0
32,5,3,2.854806423187256,5.0
32,5,3,0.5419885516166687,5.0
32,5,3,0.7283953428268433,5.0
32,5,3,1.2356245517730713,5.0
32,5,3,1.6087876558303833,5.0
32,5,3,0.6933799982070923,5.0
32,5,3,3.1621971130371094,5.0
32,5,3,2.621157169342041,5.0
64,1,1,-6.876012292877931e-08,6.0
64,1,1,1.5123090690849494e-07,6.0
64,1,1,2.0407458123372635e-07,6.0
64,1,1,9.535746414712776e-08,6.0
64,1,1,-7.03085456521535e-09,6.0
64,1,1,1.1166800106821029e-07,6.0
64,1,1,1.0343499923237687e-07,6.0
64,1,1,-6.460872725710942e-08,6.0
64,1,1,2.1009310557928984e-07,6.0
64,1,1,3.674432491607149e-08,6.0
64,1,2,4.2388595034026366e-07,6.0
64,1,2,2.137863646112237e-07,6.0
64,1,2,4.118644980621866e-08,6.0
64,1,2,4.0628961528454965e-07,6.0
64,1,2,3.5343155104783364e-06,6.0
64,1,2,4.237763562287e-08,6.0
64,1,2,3.2837800745255663e-07,6.0
64,1,2,2.427796346182731e-07,6.0
64,1,2,-1.710810160204801e-08,6.0
64,1,2,2.5826540195339476e-07,6.0
64,1,3,5.368069082578586e-07,6.0
64,1,3,1.3598863915831316e-05,6.0
64,1,3,3.717407253134297e-07,6.0
64,1,3,-1.9861191447034798e-07,6.0
64,1,3,2.7119341439174605e-07,6.0
64,1,3,5.784258405583387e-07,6.0
64,1,3,1.1317042236669295e-07,6.0
64,1,3,8.900936450118024e-07,6.0
64,1,3,1.2129850901487771e-08,6.0
64,1,3,3.500638854347926e-07,6.0
64,2,1,6.153562480903929e-06,6.0
64,2,1,9.627628969610669e-06,6.0
64,2,1,6.161757937661605e-06,6.0
64,2,1,3.1603519801137736e-07,6.0
64,2,1,2.0482923446252244e-07,6.0
64,2,1,1.0046382158179767e-05,6.0
64,2,1,1.9122037429042393e-06,6.0
64,2,1,4.353868007456185e-06,6.0
64,2,1,3.484168018985656e-06,6.0
64,2,1,1.0070672260553692e-06,6.0
64,2,2,4.585072474583285e-06,6.0
64,2,2,0.3102723956108093,6.0
64,2,2,3.7446527585416334e-06,6.0
64,2,2,5.336826689017471e-06,6.0
64,2,2,4.475940386328148e-06,6.0
64,2,2,5.207651611272013e-06,6.0
64,2,2,2.3212833184516057e-06,6.0
64,2,2,5.962128852843307e-07,6.0
64,2,2,0.12426643073558807,6.0
64,2,2,5.7501370065438095e-06,6.0
64,2,3,7.585070761706447e-06,6.0
64,2,3,9.121414223045576e-06,6.0
64,2,3,1.2024664101772942e-05,6.0
64,2,3,1.5572237316519022e-05,6.0
64,2,3,1.668214645178523e-05,6.0
64,2,3,1.3482120266417041e-05,6.0
64,2,3,1.2502579011197668e-05,6.0
64,2,3,1.6678734482411528e-06,6.0
64,2,3,1.0425953405501787e-05,6.0
64,2,3,1.3614115914606373e-06,6.0
64,3,1,5.291849902278045e-06,6.0
64,3,1,1.0543673852225766e-05,6.0
64,3,1,1.3076039977022447e-05,6.0
64,3,1,1.0801047210406978e-05,6.0
64,3,1,0.09761926531791687,6.0
64,3,1,1.4846646990918089e-05,6.0
64,3,1,3.2412540349469054e-06,6.0
64,3,1,1.4823192941548768e-05,6.0
64,3,1,5.04298532177927e-06,6.0
64,3,1,1.3195297469792422e-05,6.0
64,3,2,6.87866440785001e-06,6.0
64,3,2,3.892990207532421e-06,6.0
64,3,2,0.3520195484161377,6.0
64,3,2,9.955699169950094e-06,6.0
64,3,2,3.7747463466075715e-06,6.0
64,3,2,1.0534311513765715e-05,6.0
64,3,2,1.5840692867641337e-05,6.0
64,3,2,2.7099369617644697e-05,6.0
64,3,2,1.0296802429365925e-05,6.0
64,3,2,2.4517833026038716e-06,6.0
64,3,3,0.43726029992103577,6.0
64,3,3,1.091335707315011e-05,6.0
64,3,3,2.171111646021018e-06,6.0
64,3,3,1.0161600584979169e-05,6.0
64,3,3,7.25127983969287e-06,6.0
64,3,3,1.1442797585914377e-05,6.0
64,3,3,0.4231749176979065,6.0
64,3,3,0.4696541428565979,6.0
64,3,3,2.291701321155415e-06,6.0
64,3,3,2.6258460366079817e-06,6.0
64,4,1,4.437114512256812e-06,6.0
64,4,1,0.09539884328842163,6.0
64,4,1,5.108232016937109e-06,6.0
64,4,1,1.890071689558681e-05,6.0
64,4,1,1.3158194633433595e-05,6.0
64,4,1,0.1749422699213028,6.0
64,4,1,1.2661040273087565e-05,6.0
64,4,1,1.4556608221028e-05,6.0
64,4,1,2.622671308927238e-05,6.0
64,4,1,0.1739688366651535,6.0
64,4,2,0.36925795674324036,6.0
64,4,2,1.659198460401967e-05,6.0
64,4,2,0.3202909231185913,6.0
64,4,2,6.647635473200353e-06,6.0
64,4,2,0.45784667134284973,6.0
64,4,2,8.501094271196052e-06,6.0
64,4,2,8.93096330401022e-06,6.0
64,4,2,1.17225426947698e-05,6.0
64,4,2,1.4835688489256427e-05,6.0
64,4,2,0.38516727089881897,6.0
64,4,3,8.881968824425712e-06,6.0
64,4,3,6.760411906725494e-06,6.0
64,4,3,1.852678178693168e-05,6.0
64,4,3,0.47437459230422974,6.0
64,4,3,0.6044804453849792,6.0
64,4,3,0.5342971086502075,6.0
64,4,3,1.7090698747779243e-05,6.0
64,4,3,2.4637385649839416e-05,6.0
64,4,3,0.2884962856769562,6.0
